Name,Regional Priority,Innovation & Design Process,Green Infrastructure & Buildings,Neighborhood Pattern & Design,Smart Location & Linkage
KIC,0,5,10,32,18
Shanghai Taipingqiao,0,5,9,33,22
Foshan Lingnan Tiandi,0,6,16,29,22
Treasure Island,4,5,20,36,22
Parkmerced,0,0,0,0,0
Berryessa BART,0,0,0,0,0
Chengdu Aerotropolis,0,0,0,0,0
Fuzhou Waterfront New City,0,0,0,0,0
SHOT Line 14,0,0,0,0,0
Tongren,0,0,0,0,0
Nanjng Jiangbei,0,0,0,0,0
Baoshan Nanda,0,0,0,0,0
Shenzhen Futian,0,0,0,0,0
Concord Base Reuse Project,0,0,0,0,0
Point Molate Conceptual Master Plan,0,0,0,0,0
Compton Artesia Station Specific Plan,0,0,0,0,0
Cedar Creek Waterway,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
Riverdale Park,0,0,0,0,0
Capitol Crossing,0,0,0,0,0
Downtown Colorado Springs,0,0,0,0,0
Raleigh Civic Campus,0,0,0,0,17
Seat Pleasant Smart City MP,0,0,0,0,0
Charlotte 7th and Tryon,0,0,0,0,0
Armed Forces Retirement Home,0,0,0,0,0
Ignite Nashville,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
Milano Sesto,0,0,0,0,0
Neom,0,0,0,0,0
Alaro City,0,0,0,0,0
Tushino,0,0,0,0,0
Jeddah Township,0,0,0,0,0
NDGM,0,0,0,0,0
King Salman Park,0,0,0,0,0
Tatu City CBD,0,0,0,0,0
SAMPLE,0,0,0,0,0
SAMPLE,0,0,0,0,0
Cook Cove,0,0,0,0,0
Bonifacio East,0,0,0,0,0
KHI,0,0,0,0,0
Bandar Malaysia,0,0,0,0,0
Thu Duc,0,0,0,0,0
OCT North,0,0,0,0,0
Nanchang VR,0,0,0,0,0
TianAn,0,0,0,0,0
